content	label
房间干净整洁，服务周到，非常满意！	1
早餐种类太少，而且味道一般。	0
前台办理入住效率高，态度友好。	1
浴室瓷砖发霉，卫生状况差。	0
地理位置优越，出行非常方便。	1
隔音效果差，隔壁声音太吵。	0
床铺舒适，睡眠质量很好。	1
电梯经常故障，等待时间过长。	0
员工热情，会主动提供帮助。	1
房间有异味，空调也无法调节。	0
性价比高，物有所值。	1
停车场收费昂贵，位置不足。	0
房间视野开阔，风景优美。	1
餐厅食物冷，服务态度差。	0
24小时热水供应，体验很好。	1
走廊灯光昏暗，存在安全隐患。	0
免费WiFi速度快，网络稳定。	1
床垫太硬，影响休息。	0
附近有商场和景点，便利性高。	1
房间面积小，布局紧凑。	0
入住体验超出预期，强烈推荐。	1
电视节目少，信号不稳定。	0
早餐时间太短，无法从容享用。	1
卫生间漏水，维修不及时。	0
前台24小时有人，安全感强。	1
房间每天打扫，保持干净。	1
交通不便，周围公交稀少。	0
整体环境安静，适合度假。	1
设施陈旧，需要更新维护。	0
服务贴心，让人感到温暖。	1
隔音不好，深夜被噪音打扰。	0
房间布置温馨，适合家庭入住。	1
停车场混乱，找不到停车位。	0
员工专业，解决问题迅速。	1
早餐选择丰富，口味多样。	1
房间视野一般，但价格合理。	1
卫生死角多，清洁不到位。	0
入住流程顺畅，无任何问题。	1
附近没有便利店，购物不便。	0
床品柔软，睡眠体验极佳。	1
浴室地滑，存在摔倒风险。	0
整体性价比低，不推荐。	0
服务响应慢，需要多次催促。	0
房间隔音好，安静舒适。	1
早餐质量差，食材不新鲜。	0
前台效率高，入住体验好。	1
设施现代，科技感十足。	1
房间有免费矿泉水，细节贴心。	1
